run_id	lane	decision	delta_E	coherence	duration_ms	stdout_marker
phase_01_2_3_4_1_1_3_1_width_boundary_20260415T000001Z_full_replay_cpu_a	cpu	Commit	88.84970092773438	0.769934356212616	154758	cpu_forced
phase_01_2_3_4_1_1_3_1_width_boundary_20260415T000001Z_full_replay_gpu_a	gpu	Commit	75.68717956542969	0.8916881084442139	155030	gpu_init
phase_01_2_3_4_1_1_3_1_width_boundary_20260415T000001Z_full_replay_gpu_b	gpu	Commit	88.31316375732422	0.768072247505188	154889	gpu_init
phase_01_2_3_4_1_1_3_1_width_boundary_20260415T000001Z_full_replay_cpu_b	cpu	Commit	89.01295471191406	0.7691243290901184	154554	cpu_forced
