row_name	lane	task	gated	decision	delta_E	coherence	duration_ms	marker	status
cpu_harmonic_a	cpu	harmonic	False					cpu_forced	receipt_missing
gpu_harmonic_a	gpu	harmonic	False					gpu_marker_missing	receipt_missing
cpu_harmonic_b	cpu	harmonic	False					cpu_forced	receipt_missing
gpu_harmonic_b	gpu	harmonic	False					gpu_init	receipt_missing
