run_id	lane	decision	delta_E	coherence	duration_ms	stdout_marker
phase_01_2_3_4_1_1_3_1_2_confirmation_replay_20260415T225828Z_full_replay_cpu_a	cpu	Commit	88.7163314819336	0.7701616287231445	201025	cpu_forced
phase_01_2_3_4_1_1_3_1_2_confirmation_replay_20260415T225828Z_full_replay_gpu_a	gpu	Commit	76.0736312866211	0.8917461633682251	201382	gpu_init
phase_01_2_3_4_1_1_3_1_2_confirmation_replay_20260415T225828Z_full_replay_gpu_b	gpu	Commit	74.88800811767578	0.8780325055122375	201120	gpu_init
phase_01_2_3_4_1_1_3_1_2_confirmation_replay_20260415T225828Z_full_replay_cpu_b	cpu	Commit	74.59822845458984	0.8928934335708618	200744	cpu_forced
