epoch,train_energy,recall_energy,recall_gain,cosine_sim
0,35273.773,32131.879,0.00003252742,-0.0011840351
1,35273.773,34709.734,0.000030245137,-0.0011801005
2,35273.773,29757.303,0.000035016194,-0.0013125651
3,35273.773,32126.396,0.000032532083,-0.00095729006
4,35273.773,31200.504,0.00003322303,-0.0011442453
