run_id	lane	decision	delta_E	coherence	duration_ms	stdout_marker
phase_01_2_3_4_1_1_3_1_2_1_third_row_localization_20260415T231357Z_cpu_a_gpu_a_cpu_b_cpu_a	cpu	Commit	75.56963348388672	0.8767658472061157	200287	cpu_forced
phase_01_2_3_4_1_1_3_1_2_1_third_row_localization_20260415T231357Z_cpu_a_gpu_a_cpu_b_gpu_a	gpu	Commit	75.47908782958984	0.8773638606071472	200151	gpu_init
phase_01_2_3_4_1_1_3_1_2_1_third_row_localization_20260415T231357Z_cpu_a_gpu_a_cpu_b_cpu_b	cpu	Commit	75.94017028808594	0.8773729205131531	199314	cpu_forced
